"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"101","fire",41.0483,-123.6861,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"102","fire",41.0517,-123.6808,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"103","fire",41.0522,-123.6858,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"104","fire",41.0528,-123.6814,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"105","fire",41.0492,-123.6864,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"106","fire",41.0517,-123.6853,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"107","fire",41.4172,-123.9417,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"108","fire",41.2967,-123.8569,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"109","fire",41.31645,-123.848983,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"110","fire",41.2819,-123.8419,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"111","fire",41.2961,-123.8611,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"112","fire",41.3664,-123.8836,7.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"113","fire",41.2753,-123.84,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"114","fire",41.2864,-123.8583,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"115","fire",41.2881,-123.8494,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"116","fire",41.2889,-123.8489,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"117","fire",41.3356,-123.855,20,2,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"118","fire",41.3356,-123.855,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"119","fire",41.3172,-123.8575,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"120","fire",41.3011,-123.9872,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"121","fire",41.2767,-123.9833,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"122","fire",41.5053,-123.8575,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"123","fire",41.2683,-123.8528,2.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"124","fire",41.2797,-123.8381,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"125","fire",40.9706,-121.5153,8.6,1,2,2,3,5,5,5,1.3125,1.3356890459364
"126","fire",40.8339,-121.9139,0.1,1,2,2,2,6,6,6,1.10598290598291,1.46308724832215
"127","fire",40.8758,-121.6714,0.1,1,2,2,3,5,5,5,1.3125,1.3356890459364
"128","fire",39.1825,-122.9119,1,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"129","fire",38.730567,-122.142483,0.1,1,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"130","fire",38.730567,-122.142483,0.1,1,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"131","fire",38.730567,-122.142483,0.1,1,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"132","fire",39.673,-122.5217,1,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"133","fire",39.471817,-121.514433,0.1,1,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"134","fire",39.13911,-122.87688,0.1,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"135","fire",39.02153,-122.2956,600,4,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"136","fire",39.6742,-122.5194,2,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"137","fire",39.675,-122.5208,0.5,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"138","fire",38.9783,-123.0647,46,2,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"139","fire",39.8731,-122.2086,1,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"140","fire",39.4672,-121.5236,0.1,1,2,2,4,8,8,8,1.26859504132231,1.34965034965035
"141","fire",39.8572,-122.2044,0.4,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"142","fire",39.676525,-122.52208,0.5,1,2,2,2,7,7,7,1.10598290598291,2.13793103448276
"143","fire",38.668169,-120.935358,0.5,1,2,2,4,9,9,9,1.26859504132231,1.1123595505618
"144","fire",39.0186,-120.4072,0.2,1,2,2,3,10,10,10,1.3125,1.24752475247525
"145","fire",39.8025,-123.2017,0.8,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"146","fire",38.3989,-120.5175,0.1,1,2,2,4,9,9,9,1.26859504132231,1.1123595505618
"147","fire",38.3983,-120.5178,1,1,2,2,4,9,9,9,1.26859504132231,1.1123595505618
"148","fire",39.793993,-123.249791,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"149","fire",39.76028,-123.249154,0.5,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"150","fire",39.829217,-123.25217,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"151","fire",39.82231,-123.253,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"152","fire",39.80014,-123.25006,0.3,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"153","fire",39.8014,-123.2506,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"154","fire",39.785344,-123.252761,1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"155","fire",39.8014,-123.2528,0.2,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"156","fire",39.8,-123.2561,0.1,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"157","fire",39.7853,-123.2525,0.2,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"158","fire",39.7992,-123.2558,0.2,1,2,2,2,3,3,3,1.10598290598291,1.04838709677419
"159","fire",35.7961,-121.1905,3,1,1,3,5,11,11,11,1.34527486102532,1.54901960784314
"160","fire",41.1006,-123.7111,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"161","fire",41.1006,-123.7111,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"162","fire",41.1006,-123.7111,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"163","fire",41.1,-123.7114,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"164","fire",41.0992,-123.7117,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"165","fire",41.1006,-123.7108,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
